name,pointx_class,lat,lon,poi_class,Entertainment,Gambling,Sports
Pinner Bridge Club,4250314.0,51.59024180553352,-0.3801297544216644,Entertainment,1,0,0
Namco Fun Scape,4240290.0,51.5746769424282,0.1800580011946081,Sports,0,0,1
Pentameters Theatre,4250315.0,51.555991840017896,-0.1784692781836441,Entertainment,1,0,0
The Peacock Theatre,4250315.0,51.51462543791518,-0.118016666400976,Entertainment,1,0,0
Paramount International Management Ltd,4210273.0,51.52309015729267,-0.1630033259968477,Entertainment,1,0,0
Panic Music Studios,4250315.0,51.52639087682503,-0.2688717236378801,Entertainment,1,0,0
Optimum Gym,4240293.0,51.5746552206872,-0.4147988332687225,Sports,0,0,1
Old Mill Equestrian Centre,4230321.0,51.41336953843839,0.2114598859923671,Sports,0,0,1
Old Finchleians Club,4250314.0,51.61850794901548,-0.1902925591117723,Entertainment,1,0,0
Old Chigwellians Clubhouse,4250314.0,51.62848896054974,0.0740493733428003,Entertainment,1,0,0
Oxhey Conservative Club,4250314.0,51.645303231367855,-0.3796149453420031,Entertainment,1,0,0
Park Crescent Conference Centre,4250762.0,51.523568355932085,-0.1448208383380005,Entertainment,1,0,0
The New Eltham Social Club,4250314.0,51.43863651824318,0.0746832436948069,Entertainment,1,0,0
Paul's Race Nights,4210273.0,51.47118868575596,0.0932574292950088,Entertainment,1,0,0
Over 21 Club,4250314.0,51.342811191784094,-0.0213941963686255,Entertainment,1,0,0
Shootershill Sports & Social Club,4250314.0,51.46645116879918,0.0441863809448196,Entertainment,1,0,0
Oxshott Club,4250314.0,51.33100910822765,-0.3631709412533912,Entertainment,1,0,0
The Old Cranleighan Club,4250314.0,51.3822944428054,-0.341510790907835,Entertainment,1,0,0
Bushy Park Sports Club,4250314.0,51.42127198599087,-0.3355956375287352,Entertainment,1,0,0
Pavilion Sports & Cafe,4240305.0,51.60255437243448,-0.1334820646265022,Sports,0,0,1
Mahiki,4250312.0,51.50776648930453,-0.1412837843952984,Entertainment,1,0,0
Grosvenor Casinos,4220280.0,51.50177254920248,-0.1588725041080248,Gambling,0,1,0
Swan Bar & Entertainment Ltd,4250312.0,51.47203624155872,-0.1224769272731516,Entertainment,1,0,0
Piccadilly Theatre,4250315.0,51.511054278934665,-0.1353998409822571,Entertainment,1,0,0
Done Our Bit Club,4250314.0,51.5476522955741,-0.1974510867881264,Entertainment,1,0,0
Thames Motor Yacht Club,4230287.0,51.4050646709818,-0.3422399736228768,Sports,0,0,1
Spelthorne Leisure Centre,4240293.0,51.430178492231214,-0.5017427569868678,Sports,0,0,1
Prince of Wales Theatre,4250315.0,51.50999877540693,-0.1317969476754429,Entertainment,1,0,0
United Talent Agency,4210273.0,51.5314805081534,-0.1031344449681866,Entertainment,1,0,0
The Athenaeum,4250314.0,51.50683932380349,-0.1327331445028635,Entertainment,1,0,0
Sidcup & Foots Cray United Services Club,4250314.0,51.42619612934381,0.0993568118640851,Entertainment,1,0,0
Slade Green Railway Club,4250314.0,51.467841046426265,0.1903501094207475,Entertainment,1,0,0
Achieve Lifestyle,4240293.0,51.37017151218028,-0.5037451740943787,Sports,0,0,1
St Alban's Centre,4250762.0,51.5198269140161,-0.1104221934926886,Entertainment,1,0,0
The Pleasance Theatre,4250315.0,51.54876605979727,-0.1216995302002644,Entertainment,1,0,0
Staines & Egham Sea Cadets,4250314.0,51.43592505951583,-0.5223296908107943,Entertainment,1,0,0
