"id","opportunity","percentile","cutoff","accessibility"
"199","Bodies of water",50,15,1
"200","Bodies of water",50,15,0
"201","Bodies of water",50,15,0
"202","Bodies of water",50,15,0
"203","Bodies of water",50,15,1
"204","Bodies of water",50,15,0
"205","Bodies of water",50,15,0
"206","Bodies of water",50,15,0
"207","Bodies of water",50,15,1
"208","Bodies of water",50,15,0
"209","Bodies of water",50,15,0
"210","Bodies of water",50,15,0
"211","Bodies of water",50,15,0
"212","Bodies of water",50,15,0
"213","Bodies of water",50,15,0
"214","Bodies of water",50,15,0
"215","Bodies of water",50,15,0
"216","Bodies of water",50,15,0
"217","Bodies of water",50,15,0
"218","Bodies of water",50,15,0
"219","Bodies of water",50,15,1
"220","Bodies of water",50,15,0
"221","Bodies of water",50,15,0
"222","Bodies of water",50,15,0
"223","Bodies of water",50,15,0
"224","Bodies of water",50,15,0
"225","Bodies of water",50,15,0
"226","Bodies of water",50,15,1
"227","Bodies of water",50,15,0
"228","Bodies of water",50,15,0
"229","Bodies of water",50,15,0
"230","Bodies of water",50,15,0
"231","Bodies of water",50,15,1
"232","Bodies of water",50,15,0
"233","Bodies of water",50,15,0
"234","Bodies of water",50,15,0
"235","Bodies of water",50,15,0
"236","Bodies of water",50,15,1
"237","Bodies of water",50,15,0
"238","Bodies of water",50,15,0
"239","Bodies of water",50,15,0
"240","Bodies of water",50,15,0
"241","Bodies of water",50,15,0
"242","Bodies of water",50,15,1
"243","Bodies of water",50,15,0
"244","Bodies of water",50,15,0
"245","Bodies of water",50,15,0
"246","Bodies of water",50,15,0
"247","Bodies of water",50,15,0
"248","Bodies of water",50,15,0
"249","Bodies of water",50,15,0
"250","Bodies of water",50,15,0
"251","Bodies of water",50,15,1
"252","Bodies of water",50,15,0
"253","Bodies of water",50,15,0
"254","Bodies of water",50,15,0
"255","Bodies of water",50,15,1
"256","Bodies of water",50,15,0
"257","Bodies of water",50,15,0
"258","Bodies of water",50,15,0
"259","Bodies of water",50,15,0
"260","Bodies of water",50,15,1
"261","Bodies of water",50,15,0
"262","Bodies of water",50,15,0
"263","Bodies of water",50,15,0
"264","Bodies of water",50,15,0
"265","Bodies of water",50,15,0
"266","Bodies of water",50,15,0
"267","Bodies of water",50,15,0
"268","Bodies of water",50,15,0
"269","Bodies of water",50,15,1
"270","Bodies of water",50,15,0
"271","Bodies of water",50,15,0
"272","Bodies of water",50,15,0
"273","Bodies of water",50,15,1
"274","Bodies of water",50,15,0
"275","Bodies of water",50,15,0
"276","Bodies of water",50,15,1
"277","Bodies of water",50,15,1
"278","Bodies of water",50,15,1
"279","Bodies of water",50,15,0
"280","Bodies of water",50,15,0
"281","Bodies of water",50,15,0
"282","Bodies of water",50,15,0
"283","Bodies of water",50,15,0
"284","Bodies of water",50,15,1
"285","Bodies of water",50,15,1
"286","Bodies of water",50,15,0
"287","Bodies of water",50,15,0
"288","Bodies of water",50,15,0
"289","Bodies of water",50,15,1
"290","Bodies of water",50,15,0
"291","Bodies of water",50,15,0
"292","Bodies of water",50,15,0
"293","Bodies of water",50,15,1
"294","Bodies of water",50,15,0
"295","Bodies of water",50,15,0
"296","Bodies of water",50,15,0
"297","Bodies of water",50,15,0
"298","Bodies of water",50,15,1
"299","Bodies of water",50,15,1
"300","Bodies of water",50,15,0
"301","Bodies of water",50,15,0
"302","Bodies of water",50,15,0
"303","Bodies of water",50,15,1
"304","Bodies of water",50,15,0
"305","Bodies of water",50,15,1
"306","Bodies of water",50,15,0
"307","Bodies of water",50,15,0
"308","Bodies of water",50,15,0
"309","Bodies of water",50,15,0
"310","Bodies of water",50,15,0
"311","Bodies of water",50,15,0
"312","Bodies of water",50,15,0
"313","Bodies of water",50,15,1
"314","Bodies of water",50,15,0
"315","Bodies of water",50,15,0
"316","Bodies of water",50,15,0
"317","Bodies of water",50,15,0
"318","Bodies of water",50,15,0
"319","Bodies of water",50,15,0
"320","Bodies of water",50,15,0
"321","Bodies of water",50,15,0
"322","Bodies of water",50,15,0
"323","Bodies of water",50,15,0
"324","Bodies of water",50,15,1
"325","Bodies of water",50,15,1
"326","Bodies of water",50,15,0
"327","Bodies of water",50,15,0
"328","Bodies of water",50,15,0
"329","Bodies of water",50,15,0
"330","Bodies of water",50,15,0
"331","Bodies of water",50,15,0
"332","Bodies of water",50,15,1
"333","Bodies of water",50,15,0
"334","Bodies of water",50,15,0
"335","Bodies of water",50,15,1
"336","Bodies of water",50,15,0
"337","Bodies of water",50,15,0
"338","Bodies of water",50,15,0
"339","Bodies of water",50,15,0
"340","Bodies of water",50,15,0
"341","Bodies of water",50,15,0
"342","Bodies of water",50,15,0
"343","Bodies of water",50,15,0
"344","Bodies of water",50,15,0
"345","Bodies of water",50,15,0
"346","Bodies of water",50,15,0
"347","Bodies of water",50,15,0
"348","Bodies of water",50,15,0
"349","Bodies of water",50,15,0
"350","Bodies of water",50,15,0
"351","Bodies of water",50,15,0
"352","Bodies of water",50,15,1
"353","Bodies of water",50,15,0
"354","Bodies of water",50,15,0
"355","Bodies of water",50,15,0
"356","Bodies of water",50,15,0
"357","Bodies of water",50,15,0
"358","Bodies of water",50,15,1
"359","Bodies of water",50,15,0
"360","Bodies of water",50,15,0
"361","Bodies of water",50,15,0
"362","Bodies of water",50,15,1
"363","Bodies of water",50,15,0
"364","Bodies of water",50,15,0
"365","Bodies of water",50,15,0
"366","Bodies of water",50,15,0
"367","Bodies of water",50,15,0
"368","Bodies of water",50,15,0
"369","Bodies of water",50,15,0
"370","Bodies of water",50,15,1
"371","Bodies of water",50,15,0
"372","Bodies of water",50,15,0
"373","Bodies of water",50,15,0
"374","Bodies of water",50,15,0
"375","Bodies of water",50,15,0
"376","Bodies of water",50,15,0
"377","Bodies of water",50,15,0
"378","Bodies of water",50,15,0
"379","Bodies of water",50,15,0
"380","Bodies of water",50,15,1
"381","Bodies of water",50,15,0
"382","Bodies of water",50,15,0
"383","Bodies of water",50,15,0
"384","Bodies of water",50,15,0
"385","Bodies of water",50,15,0
"386","Bodies of water",50,15,0
"387","Bodies of water",50,15,0
"388","Bodies of water",50,15,0
"389","Bodies of water",50,15,1
"390","Bodies of water",50,15,0
"391","Bodies of water",50,15,0
"392","Bodies of water",50,15,0
"393","Bodies of water",50,15,0
"394","Bodies of water",50,15,0
"395","Bodies of water",50,15,0
"396","Bodies of water",50,15,0
"397","Bodies of water",50,15,0
"398","Bodies of water",50,15,0
"399","Bodies of water",50,15,0
"400","Bodies of water",50,15,0
"401","Bodies of water",50,15,0
"402","Bodies of water",50,15,0
"403","Bodies of water",50,15,0
"404","Bodies of water",50,15,0
"405","Bodies of water",50,15,0
"406","Bodies of water",50,15,0
"407","Bodies of water",50,15,0
"408","Bodies of water",50,15,0
"409","Bodies of water",50,15,0
"410","Bodies of water",50,15,0
"411","Bodies of water",50,15,1
"412","Bodies of water",50,15,0
"413","Bodies of water",50,15,0
"414","Bodies of water",50,15,1
"415","Bodies of water",50,15,0
"416","Bodies of water",50,15,0
"417","Bodies of water",50,15,0
"418","Bodies of water",50,15,0
"419","Bodies of water",50,15,0
"420","Bodies of water",50,15,0
"421","Bodies of water",50,15,0
"422","Bodies of water",50,15,0
"423","Bodies of water",50,15,0
"424","Bodies of water",50,15,0
"425","Bodies of water",50,15,0
"426","Bodies of water",50,15,1
"427","Bodies of water",50,15,0
"428","Bodies of water",50,15,0
"429","Bodies of water",50,15,1
"430","Bodies of water",50,15,0
"431","Bodies of water",50,15,0
"432","Bodies of water",50,15,0
"433","Bodies of water",50,15,0
"434","Bodies of water",50,15,0
"435","Bodies of water",50,15,0
"436","Bodies of water",50,15,0
"437","Bodies of water",50,15,1
"438","Bodies of water",50,15,0
"439","Bodies of water",50,15,0
"440","Bodies of water",50,15,0
"441","Bodies of water",50,15,1
"442","Bodies of water",50,15,1
"443","Bodies of water",50,15,0
"444","Bodies of water",50,15,0
"445","Bodies of water",50,15,0
"446","Bodies of water",50,15,1
"447","Bodies of water",50,15,0
"448","Bodies of water",50,15,0
"449","Bodies of water",50,15,0
"450","Bodies of water",50,15,0
"451","Bodies of water",50,15,0
"452","Bodies of water",50,15,0
"453","Bodies of water",50,15,0
"454","Bodies of water",50,15,0
"455","Bodies of water",50,15,2
"456","Bodies of water",50,15,0
"457","Bodies of water",50,15,0
"458","Bodies of water",50,15,0
"459","Bodies of water",50,15,0
"460","Bodies of water",50,15,0
"461","Bodies of water",50,15,0
"462","Bodies of water",50,15,0
"463","Bodies of water",50,15,0
"464","Bodies of water",50,15,0
"465","Bodies of water",50,15,0
"466","Bodies of water",50,15,0
"467","Bodies of water",50,15,0
"468","Bodies of water",50,15,0
"469","Bodies of water",50,15,2
"470","Bodies of water",50,15,0
"471","Bodies of water",50,15,0
"472","Bodies of water",50,15,0
"473","Bodies of water",50,15,0
"474","Bodies of water",50,15,0
"475","Bodies of water",50,15,0
"476","Bodies of water",50,15,0
"477","Bodies of water",50,15,1
"478","Bodies of water",50,15,0
"479","Bodies of water",50,15,0
"480","Bodies of water",50,15,0
"481","Bodies of water",50,15,0
"482","Bodies of water",50,15,2
"483","Bodies of water",50,15,0
"484","Bodies of water",50,15,0
"485","Bodies of water",50,15,0
"486","Bodies of water",50,15,0
"487","Bodies of water",50,15,0
"488","Bodies of water",50,15,0
"489","Bodies of water",50,15,0
"490","Bodies of water",50,15,1
"491","Bodies of water",50,15,1
"492","Bodies of water",50,15,2
"493","Bodies of water",50,15,0
"494","Bodies of water",50,15,1
"495","Bodies of water",50,15,1
"496","Bodies of water",50,15,0
"497","Bodies of water",50,15,0
"498","Bodies of water",50,15,0
"499","Bodies of water",50,15,0
"500","Bodies of water",50,15,0
"501","Bodies of water",50,15,0
"502","Bodies of water",50,15,2
"503","Bodies of water",50,15,0
"504","Bodies of water",50,15,0
"505","Bodies of water",50,15,2
"506","Bodies of water",50,15,0
"507","Bodies of water",50,15,0
"508","Bodies of water",50,15,0
"509","Bodies of water",50,15,0
"510","Bodies of water",50,15,0
"511","Bodies of water",50,15,0
"512","Bodies of water",50,15,0
"513","Bodies of water",50,15,0
"514","Bodies of water",50,15,1
"515","Bodies of water",50,15,0
"516","Bodies of water",50,15,1
"517","Bodies of water",50,15,1
"518","Bodies of water",50,15,1
"519","Bodies of water",50,15,0
"520","Bodies of water",50,15,0
"521","Bodies of water",50,15,0
"522","Bodies of water",50,15,0
"523","Bodies of water",50,15,1
"524","Bodies of water",50,15,0
"525","Bodies of water",50,15,0
"526","Bodies of water",50,15,0
"527","Bodies of water",50,15,0
"528","Bodies of water",50,15,0
"529","Bodies of water",50,15,0
"530","Bodies of water",50,15,0
"531","Bodies of water",50,15,0
"532","Bodies of water",50,15,0
"533","Bodies of water",50,15,0
"534","Bodies of water",50,15,0
"535","Bodies of water",50,15,0
"536","Bodies of water",50,15,0
"537","Bodies of water",50,15,0
"538","Bodies of water",50,15,2
"539","Bodies of water",50,15,0
"540","Bodies of water",50,15,2
"541","Bodies of water",50,15,1
"542","Bodies of water",50,15,0
"543","Bodies of water",50,15,0
"544","Bodies of water",50,15,0
"545","Bodies of water",50,15,0
"546","Bodies of water",50,15,0
"547","Bodies of water",50,15,0
"548","Bodies of water",50,15,1
"549","Bodies of water",50,15,3
"550","Bodies of water",50,15,0
"551","Bodies of water",50,15,0
"552","Bodies of water",50,15,0
"553","Bodies of water",50,15,0
"554","Bodies of water",50,15,0
